"imageWrapperWrapper src","currency","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/ispahani-blenders-choice-premium-tea-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152334&q=best&v=1&m=400&webp=1","৳","145","Ispahani Blender's Choice Premium Tea","50 pcs"
"https://chaldn.com/_mpimage/finlay-shinrai-japanese-green-tea-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75108&q=best&v=1&m=400&webp=1","৳","170","Finlay Shinrai Japanese Green Tea","150 gm"
"https://chaldn.com/_mpimage/fresh-premium-green-tea-375-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113126&q=best&v=1&m=400&webp=1","৳","120","Fresh Premium Green Tea","37.5 gm"
"https://chaldn.com/_mpimage/kazi-kazi-organic-lemongrass-herbal-infusion-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108213&q=best&v=1&m=400&webp=1","৳","195","Kazi & Kazi Organic Lemongrass Herbal Infusion","50 gm"
"https://chaldn.com/_mpimage/finlay-natural-green-tea-bags-25-pcs-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168161&q=best&v=1&m=400&webp=1","৳","140","Finlay Natural Green Tea Bags 25 pcs","50 gm"
"https://chaldn.com/_mpimage/tetley-green-tea-bag-masala-cha-25-pcs-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161047&q=best&v=1&m=400&webp=1","৳","160","Tetley Green Tea Bag Masala Cha 25 pcs","35 gm"
"https://chaldn.com/_mpimage/nestle-nescafe-americano-instant-coffee-mix-8-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177795&q=best&v=1&m=400&webp=1","৳","10","Nestle Nescafe Americano Instant Coffee Mix","8 gm"
"https://chaldn.com/_mpimage/nescafe-hazelnut-latte-coffee-mix-22-gm-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169175&q=best&v=1&m=400&webp=1","৳","60","Nescafe Hazelnut Latte Coffee Mix 22 gm","2 pcs"
"https://chaldn.com/_mpimage/kazi-kazi-organic-green-lemongrass-tea-40-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108204&q=best&v=1&m=400&webp=1","৳","220","Kazi & Kazi Organic Green Lemongrass Tea 40 pcs","60 gm"
"https://chaldn.com/_mpimage/nestle-nescafe-classic-instant-coffee-jar-45-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161347&q=best&v=1&m=400&webp=1","৳","275","Nestle Nescafe Classic Instant Coffee Jar","45 gm"
"https://chaldn.com/_mpimage/tetley-tea-bag-lemon-honey-25-pcs-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161042&q=best&v=1&m=400&webp=1","৳","170","Tetley Tea Bag Lemon & Honey 25 pcs","50 gm"
"https://chaldn.com/_mpimage/halda-valley-red-robe-oolong-tea-45-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169857&q=best&v=1&m=400&webp=1","৳","245","Halda Valley Red Robe Oolong Tea","45 gm"
"https://chaldn.com/_mpimage/kazi-kazi-organic-tulsi-tea-40-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108234&q=best&v=1&m=400&webp=1","৳","215","Kazi & Kazi Organic Tulsi Tea 40 pcs","60 gm"
"https://chaldn.com/_mpimage/finlay-gold-tea-bag-50-pcs-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95562&q=best&v=1&m=400&webp=1","৳","90","Finlay Gold Tea Bag 50 pcs","100 gm"
"https://chaldn.com/_mpimage/dilmah-ceylon-moroccan-mint-green-tea-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177291&q=best&v=1&m=400&webp=1","৳","650","Dilmah Ceylon Moroccan Mint Green Tea","40 gm"
"https://chaldn.com/_mpimage/kazi-kazi-organic-green-mint-tea-25-pcs-375-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158244&q=best&v=1&m=400&webp=1","৳","295","Kazi & Kazi Organic Green Mint Tea 25 pcs","37.5 gm"
"https://chaldn.com/_mpimage/lipton-green-tea-bag-honey-and-lemon-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93326&q=best&v=1&m=400&webp=1","৳","150","Lipton Green Tea Bag Honey and Lemon","50 pcs"
"https://chaldn.com/_mpimage/kopiko-brown-coffee-20-gm-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113370&q=best&v=1&m=400&webp=1","৳","279","Kopiko Brown Coffee 20 gm","6 pcs"
"https://chaldn.com/_mpimage/tetley-green-tea-bag-pure-and-original-25-pcs-325-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D161034&q=best&v=1&m=400&webp=1","৳","140","Tetley Green Tea Bag Pure and Original 25 pcs","32.5 gm"
"","","","",""
