"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/aci-aroma-aromatic-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177123&q=best&v=1&m=400&webp=1","","175","ACI Aroma Aromatic Chinigura Rice","1 kg"
"https://chaldn.com/_mpimage/aci-pure-banglamati-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177168&q=best&v=1&m=400&webp=1","","560","ACI Pure Banglamati Rice","5 kg"
"https://chaldn.com/_mpimage/katari-atop-rice-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74589&q=best&v=1&m=400&webp=1","459","485","Katari Atop Rice ± 50 gm","5 kg"
"https://chaldn.com/_mpimage/aci-pure-fortified-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177174&q=best&v=1&m=400&webp=1","","530","ACI Pure Fortified Nazirshail Rice","5 kg"
"https://chaldn.com/_mpimage/chashi-aromatic-chinigura-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89208&q=low&v=1&m=400&webp=1","","750","Chashi Aromatic Chinigura Rice","5 kg"
"https://chaldn.com/_mpimage/akij-essential-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122562&q=best&v=1&m=400&m=400&webp=1","","450","Akij Essential Miniket Rice","5 kg"
"https://chaldn.com/_mpimage/aci-pure-premium-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177234&q=best&v=1&m=400&webp=1","","480","ACI Pure Premium Miniket Rice","5 kg"
"https://chaldn.com/_mpimage/fresh-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128603&q=best&v=1&m=400&webp=1","148","155","Fresh Chinigura Rice","1 kg"
"https://chaldn.com/_mpimage/pran-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108355&q=best&v=1&m=400&webp=1","","470","Pran Miniket Rice","5 kg"
"https://chaldn.com/_mpimage/aarong-natural-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122762&q=best&v=1&m=400&webp=1","","160","Aarong Natural Chinigura Rice","1 kg"
"https://chaldn.com/_mpimage/rupchanda-jirashail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169273&q=best&v=1&m=400&webp=1","","495","Rupchanda Jirashail Rice","5 kg"
"https://chaldn.com/_mpimage/akij-essential-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122559&q=best&v=1&m=400&webp=1","","160","Akij Essential Chinigura Rice","1 kg"
"https://chaldn.com/_mpimage/huski-rice-half-boiled-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133719&q=best&v=1&m=400&webp=1","329","399","Huski Rice (Half Boiled)","5 kg"
"https://chaldn.com/_mpimage/aci-nutrilife-black-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177221&q=best&v=1&m=400&m=400&webp=1","","250","ACI Nutrilife Black Rice","1 kg"
